"","new_subject","task","car","mean_off_duration","sum_long_off_glance","total_off_time","frequency_off_glance","task_time","percentage_long_off_glance","frequency_off_glance_per_minute"
"1599",6008,"nav_entry_2","Corolla",0.543333333333333,0,1.63,3,47.9,0,3.75782881002088
"1600",6008,"radiom_4","Corolla",0.745,0,8.94,12,16.5,0,43.6363636363636
"1601",6008,"radiom_6","Corolla",0.61125,0,2.445,4,7.11,0,33.7552742616034
"1602",6010,"nav_cancel_1","Corolla",1.10272727272727,0,12.13,11,37.12,0,17.7801724137931
"1603",6010,"nav_cancel_2","Corolla",0.606666666666667,0,1.82,3,23.105,0,7.7905215321359
"1604",6010,"nav_entry_1","Corolla",1.10857142857143,0,23.28,21,110.7,0,11.3821138211382
"1605",6010,"nav_entry_2","Corolla",0.941,1,28.23,30,109.91,3.33333333333333,16.3770357565281
"1606",6010,"radiom_4","Corolla",1.17722222222222,1,10.595,9,16.5,11.1111111111111,32.7272727272727
"1607",6010,"radiom_6","Corolla",1.03125,0,8.25,8,17.965,0,26.7186195379905
"1608",6011,"nav_cancel_1","Corolla",0.455,0,0.455,1,13.715,0,4.374772147284
"1609",6011,"nav_cancel_2","Corolla",0.515,0,1.03,2,13.72,0,8.7463556851312
"1610",6011,"nav_entry_1","Corolla",0.57,0,1.14,2,47.495,0,2.52658174544689
"1611",6011,"nav_entry_2","Corolla",0.67375,0,5.39,8,59.11,0,8.12045339198105
"1612",6011,"radiom_4","Corolla",0.884,0,8.84,10,19.095,0,31.4218381775334
"1613",6011,"radiom_6","Corolla",0.7,0,5.6,8,14.305,0,33.5547011534429
"1614",6012,"nav_cancel_1","Corolla",0.54,0,0.54,1,16.72,0,3.58851674641148
"1615",6012,"nav_cancel_2","Corolla",0.3,0,0.9,3,17.5,0,10.2857142857143
"1616",6012,"nav_entry_1","Corolla",0.495121951219512,0,20.3,41,114.3,0,21.5223097112861
"1617",6012,"nav_entry_2","Corolla",0.711153846153846,0,9.245,13,63.7,0,12.2448979591837
"1618",6012,"radiom_4","Corolla",0.740588235294118,0,12.59,17,23.11,0,44.1367373431415
"1619",6012,"radiom_6","Corolla",0.70625,0,5.65,8,11.71,0,40.9906063193851
"1620",6013,"nav_cancel_2","Corolla",0.336666666666667,0,1.01,3,15.7,0,11.4649681528662
"1621",6013,"nav_entry_1","Corolla",0.67125,0,2.685,4,48.3,0,4.96894409937888
"1622",6013,"nav_entry_2","Corolla",0.628125,0,5.025,8,57.9,0,8.29015544041451
"1623",6013,"radiom_4","Corolla",0.941428571428571,0,6.59,7,11.21,0,37.4665477252453
"1624",6013,"radiom_6","Corolla",0.73375,0,5.87,8,14.3,0,33.5664335664336
"1625",6014,"nav_cancel_2","Corolla",0.485,0,2.91,6,16.1,0,22.360248447205
"1626",6014,"nav_entry_1","Corolla",0.548333333333333,0,6.58,12,49.5,0,14.5454545454545
"1627",6014,"nav_entry_2","Corolla",0.638181818181818,0,7.02,11,55.5,0,11.8918918918919
"1628",6014,"radiom_4","Corolla",0.845714285714286,0,5.92,7,11.3,0,37.1681415929203
"1629",6014,"radiom_6","Corolla",0.855,0,5.13,6,9.1,0,39.5604395604396
"1630",6015,"nav_entry_1","Corolla",0.426666666666667,0,1.28,3,49.7,0,3.62173038229376
"1631",6015,"nav_entry_2","Corolla",0.592222222222222,0,5.33,9,55.08,0,9.80392156862745
"1632",6015,"radiom_4","Corolla",0.671111111111111,0,6.04,9,14.1,0,38.2978723404255
